Algorithm,Mean_SCBI,Std_SCBI,Min_SCBI,Max_SCBI,Median_SCBI,Mean_Score_Quality,Mean_Coverage,Mean_Diversity,Mean_Efficiency,Mean_Balance,Num_Videos
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_3.0_long_5.0_temporal_iter3,0.19804515297885766,0.2602553797101867,0.0,0.999329754371934,0.03827295278113052,0.242756972624382,0.15333333333333332,0.18592326889123403,0.5727059488798928,0.07081504184695056,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter3,0.19781521794179918,0.26068689999091904,0.0,0.999996957541268,0.05400173921788263,0.26229710255026506,0.13333333333333333,0.19765608671953971,0.5912707415494568,0.06976383043449488,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_3.0_long_5.0_score_diff_iter2,0.19776308337147291,0.25956441795109686,0.0,0.9919871291274329,0.040867557683585465,0.24885950007627916,0.14666666666666667,0.19655109569855603,0.5921180674901199,0.07212773246980456,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_3.0_long_5.0_score_diff_iter2,0.1971589373341139,0.25097009797468084,0.0,0.999996957541268,0.057487551857518124,0.2609845413348945,0.13333333333333333,0.20113919535666447,0.5876871466478923,0.06103760778186591,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_3.0_med_6.0_long_10.0_score_diff_iter2,0.19707807358046114,0.2466646254093927,0.0,0.9972508019489114,0.06473403808825301,0.27082281382758894,0.12333333333333334,0.21333897599336873,0.6143643656315457,0.0565130713698854,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter1,0.19629352587128465,0.25219658800428796,0.0,0.9951379137095733,0.05159143095846217,0.26258705174256924,0.13,0.203884589630596,0.6179922154290169,0.06180554867309116,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter1,0.1960721111361129,0.2522200402957104,0.0,0.9951379137095733,0.04746996006210902,0.2621442222722258,0.13,0.19133637168821532,0.6181660422094091,0.05971294854311072,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_3.0_med_6.0_long_10.0_temporal_iter3,0.19512370393624526,0.25218086443606647,0.0,0.9999970171483001,0.04746996006210902,0.26358074120582387,0.12666666666666668,0.21674779977602354,0.6181888898657958,0.06132535191496038,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_3.0_med_6.0_long_10.0_score_diff_iter1,0.19502893737135615,0.24797183765290642,0.0,0.999996957541268,0.060854291521236836,0.27672454140937897,0.11333333333333333,0.2234643453416234,0.6173594110414768,0.059149041279956925,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_3.0_med_6.0_long_10.0_score_diff_iter1,0.19468221637222002,0.24727674691571752,0.0,0.999996957541268,0.060854291521236836,0.2760310994111066,0.11333333333333333,0.21353013484338665,0.6175650543906778,0.057396148583911365,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_3.0_med_6.0_long_10.0_temporal_iter2,0.19405535971489266,0.24949820083416058,0.0,0.999996957541268,0.05400173921788263,0.2681107194297853,0.12,0.22774726120719388,0.6208847602817135,0.06217109441145408,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter3,0.19376894364321237,0.2503667396343801,0.0,0.9933083448543907,0.05147705039551498,0.25420455395309144,0.13333333333333333,0.19486273398247908,0.618894463456606,0.06384068700387716,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_3.0_long_5.0_temporal_iter1,0.19365303794276306,0.24840663160934426,0.0,0.9956642489946512,0.05052607818406385,0.25063940921885947,0.13666666666666666,0.19919188327221884,0.5888989407860591,0.05836253483680864,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_3.0_long_5.0_score_diff_iter1,0.19362412626764547,0.25133766769887544,0.0,0.999996957541268,0.053712721359666045,0.25391491920195763,0.13333333333333333,0.20671404923892686,0.5850155701398336,0.06343539326105695,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_3.0_long_5.0_score_diff_iter3,0.19291073469232659,0.2442627919835916,0.0,0.999996957541268,0.055509701916204454,0.2624881360513198,0.12333333333333334,0.20514058875648028,0.5877090396259407,0.05667392190564716,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_3.0_med_6.0_long_10.0_temporal_iter2,0.1923219139031057,0.24797203511899577,0.0,0.9999970171483001,0.05659268998361294,0.26464382780621143,0.12,0.22256122449131485,0.6184611221676612,0.05974524216034197,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter1,0.1922811598613498,0.24932942519022314,0.0,0.999996957541268,0.053887358654935436,0.25456231972269966,0.13,0.19320462242530193,0.5950113713079123,0.0597433606454852,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_3.0_long_5.0_score_diff_iter2,0.19168413720671112,0.24183992821293515,0.0,0.999996957541268,0.05453445624903279,0.26003494108008895,0.12333333333333334,0.20215354141464834,0.587727679770439,0.05376120661676493,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter1,0.19149669727787594,0.24261300846934508,0.0,0.9956774713923502,0.053887358654935436,0.2563267278890852,0.12666666666666668,0.19307707385231132,0.5991591156916966,0.05261862710139053,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter3,0.19133969895775874,0.2482184023131173,0.0,0.9957472521095388,0.0519555295291739,0.25267939791551747,0.13,0.1954123201483293,0.5986512138296878,0.060648627515988346,300
