import time: self [us] | cumulative | imported package
import time:       274 |        274 |                 torch.utils.backend_registration
import time:       270 |        903 |               torch.utils
import time:       239 |       1141 |             torch.utils.hooks
import time:       163 |        163 |             torch._namedtensor_internals
import time:      1130 |       1130 |             torch.overrides
import time:       313 |        313 |             torch.utils.dlpack
import time:       599 |       3828 |           torch._tensor
import time:       338 |        338 |             torch.types
import time:       581 |        919 |           torch.storage
import time:       184 |        184 |           torch.random
import time:       572 |        572 |             difflib
import time:       788 |        788 |             tarfile
import time:       283 |        283 |             torch._sources
import time:       106 |        106 |               _socket
import time:      1842 |       1948 |             typing_extensions
import time:       207 |        207 |             torch._weights_only_unpickler
import time:       720 |       4515 |           torch.serialization
import time:       379 |        379 |             dataclasses
import time:       538 |        916 |           torch._tensor_str
import time:       228 |        228 |             torch.amp.autocast_mode
import time:       224 |        451 |           torch.amp
import time:       159 |        159 |             torch.cuda._utils
import time:      1409 |       1409 |               torch.utils._pytree
import time:       207 |       1616 |             torch.cuda.graphs
import time:       206 |        206 |             torch.cuda.streams
import time:       182 |        182 |               ctypes.util
import time:      2910 |       3091 |             pynvml
import time:       685 |        685 |               torch.cuda._memory_viz
import time:       319 |       1004 |             torch.cuda.memory
import time:       183 |        183 |             torch.cuda.random
import time:       173 |        173 |               torch.cuda.amp.autocast_mode
import time:       108 |        108 |                 torch.cuda.amp.common
import time:       355 |        463 |               torch.cuda.amp.grad_scaler
import time:       136 |        771 |             torch.cuda.amp
import time:       158 |        158 |             torch.cuda.jiterator
import time:       125 |        125 |             torch.cuda.nvtx
import time:       119 |        119 |             torch.cuda.profiler
import time:       101 |        101 |             torch.cuda.sparse
import time:      2038 |       9566 |           torch.cuda
import time:       257 |        257 |             torch.sparse.semi_structured
import time:       219 |        475 |           torch.sparse
import time:       143 |        143 |           torch._compile
import time:       214 |        214 |                     torch.nn.parameter
import time:       953 |       1166 |                   torch.nn.modules.module
import time:       136 |        136 |                       torch._VF
import time:      1072 |       1072 |                       torch._torch_docs
import time:       140 |        140 |                               torch.distributed.constants
import time:       131 |        131 |                                 torch.distributed.logging_handlers
import time:       174 |        304 |                               torch.distributed.c10d_logger
import time:       155 |        155 |                               torch.distributed.rendezvous
import time:      1006 |       1603 |                             torch.distributed.distributed_c10d
import time:       149 |        149 |                             torch.distributed.remote_device
import time:      1797 |       3548 |                           torch.distributed
import time:       228 |        228 |                             torch.futures
import time:       364 |        364 |                             torch.distributed.rpc.internal
import time:       131 |        131 |                             torch.distributed.rpc.constants
import time:       130 |        130 |                             torch.distributed.rpc._utils
import time:       391 |       1241 |                           torch.distributed.rpc.api
import time:       297 |        297 |                           torch.distributed.rpc.backend_registry
import time:       125 |        125 |                           torch.distributed.rpc.functions
import time:       203 |        203 |                           torch.distributed.autograd
import time:       243 |        243 |                           torch.distributed.rpc.options
import time:       485 |        485 |                                 torch._vmap_internals
import time:       149 |        149 |                                     torch.utils._contextlib
import time:       205 |        354 |                                   torch.autograd.grad_mode
import time:       248 |        601 |                                 torch.autograd.forward_ad
import time:       219 |        219 |                                 torch.autograd.functional
import time:       222 |        222 |                                   torch.utils._python_dispatch
import time:       355 |        576 |                                 torch.autograd.graph
import time:       144 |        144 |                                 torch.autograd.anomaly_mode
import time:       126 |        126 |                                   torch._functorch
import time:       255 |        255 |                                       torch._functorch.pyfunctorch
import time:       296 |        550 |                                     torch._ops
import time:       138 |        138 |                                     torch._functorch.utils
import time:       127 |        127 |                                       torch._functorch.pytree_hacks
import time:       223 |        350 |                                     torch._functorch.vmap
import time:       146 |        146 |                                     torch._functorch.apis
import time:       334 |       1516 |                                   torch._functorch.autograd_function
import time:       370 |       2011 |                                 torch.autograd.function
import time:        32 |         32 |                                       cmath
import time:       660 |        692 |                                     torch.testing._comparison
import time:       191 |        191 |                                     torch.testing._creation
import time:       142 |       1023 |                                   torch.testing
import time:       460 |       1483 |                                 torch.autograd.gradcheck
import time:       139 |        139 |                                 torch.autograd.variable
import time:       392 |        392 |                                   torch.autograd.profiler_util
import time:       340 |        732 |                                 torch.autograd.profiler
import time:       730 |       7116 |                               torch.autograd
import time:       178 |       7293 |                             torch.autograd.profiler_legacy
import time:       155 |       7448 |                           torch.distributed.rpc.server_process_global_profiler
import time:       689 |      13791 |                         torch.distributed.rpc
import time:       547 |        547 |                                     pickletools
import time:       152 |        152 |                                     torch.package._digraph
import time:       110 |        110 |                                     torch.package._importlib
import time:       111 |        111 |                                     torch.package._mangling
import time:       203 |        203 |                                       torch.package.importer
import time:       122 |        325 |                                     torch.package._package_pickler
import time:       151 |        151 |                                     torch.package._stdlib
import time:       153 |        153 |                                     torch.package.find_file_dependencies
import time:       156 |        156 |                                     torch.package.glob_group
import time:       725 |       2426 |                                   torch.package.package_exporter
